Applied linguistics,na,na,na,na,na,na,na,na,81.0,105.0,Other social sciences,Psychology and social sciences
"Area, ethnic, cultural studiesk",114.0,112.0,111.0,110.0,113.0,98.0,90.0,80.0,189.0,168.0,Other social sciences,Psychology and social sciences
Criminal justice and corrections,74.0,75.0,74.0,80.0,80.0,75.0,80.0,111.0,93.0,108.0,Other social sciences,Psychology and social sciences
Criminology,54.0,61.0,52.0,101.0,86.0,76.0,78.0,105.0,104.0,94.0,Other social sciences,Psychology and social sciences
Demography and population studies,23.0,18.0,13.0,30.0,17.0,27.0,32.0,21.0,37.0,22.0,Other social sciences,Psychology and social sciences
Gender and women's studies,na,na,na,na,na,na,40.0,34.0,72.0,49.0,Other social sciences,Psychology and social sciences
Geography,249.0,209.0,225.0,233.0,270.0,251.0,293.0,301.0,245.0,284.0,Other social sciences,Psychology and social sciences
Gerontology (social sciences),na,na,18.0,27.0,31.0,32.0,28.0,24.0,22.0,29.0,Other social sciences,Psychology and social sciences
Health policy analysis,na,na,na,na,41.0,69.0,50.0,81.0,61.0,54.0,Other social sciences,Psychology and social sciences
"International relations, international affairs",82.0,101.0,107.0,113.0,124.0,119.0,105.0,104.0,137.0,149.0,Other social sciences,Psychology and social sciences
Linguistics,254.0,275.0,240.0,270.0,258.0,285.0,276.0,288.0,237.0,208.0,Other social sciences,Psychology and social sciences
Public policy analysis,196.0,228.0,244.0,223.0,263.0,279.0,277.0,293.0,230.0,240.0,Other social sciences,Psychology and social sciences
Statistics (social sciences),20.0,17.0,21.0,22.0,19.0,24.0,20.0,22.0,44.0,15.0,Other social sciences,Psychology and social sciences
"Urban, city, community and regional planning",116.0,92.0,106.0,104.0,121.0,114.0,111.0,128.0,131.0,148.0,Other social sciences,Psychology and social sciences
"Urban studies, affairs",28.0,33.0,34.0,31.0,34.0,39.0,35.0,31.0,39.0,43.0,Other social sciences,Psychology and social sciences
"Social sciences, general",37.0,51.0,48.0,39.0,32.0,55.0,59.0,55.0,99.0,45.0,Other social sciences,Psychology and social sciences
"Social sciences, other",107.0,120.0,107.0,114.0,142.0,151.0,157.0,146.0,141.0,128.0,Other social sciences,Psychology and social sciences
Agricultural engineering,61.0,64.0,58.0,60.0,68.0,75.0,80.0,67.0,62.0,79.0,Other engineering,Engineering
Ceramic sciences engineering,7.0,5.0,11.0,7.0,5.0,3.0,na,na,na,na,Other engineering,Engineering
Communications engineering,26.0,26.0,15.0,16.0,24.0,31.0,29.0,30.0,19.0,15.0,Other engineering,Engineering
Computer engineering,386.0,380.0,374.0,372.0,406.0,417.0,465.0,410.0,401.0,419.0,Other engineering,Engineering
"Engineering management, administration",39.0,40.0,38.0,37.0,44.0,59.0,44.0,45.0,29.0,55.0,Other engineering,Engineering
